Facility Name,State,1995 NOX Emissions (tons),2019 NOX Emissions (tons),1995 vs 2019 NOX Emissions (tons),Latitude (degrees),Longitude (degrees)
Sycamore Combustion Turbine,IA,,5.00,,41.6722,-93.6769
Walter Scott Jr. Energy Center,IA,"8,287",5592.00,"-2,695",41.18,-95.8408
Bennett Mountain Power Project,ID,,139.00,,43.147,-115.6671
Evander Andrews Power Complex,ID,,66.00,,43.1794,-115.7328
Langley Gulch Power Plant,ID,,37.00,,43.9046,-116.8181
Rathdrum Combustion Turbine Project,ID,33,31.00,-2,47.8034,-116.869
"Rathdrum Power, LLC",ID,,77.00,,47.7861,-116.9214
Alsey Station,IL,,10.00,,39.5697,-90.4362
Aurora,IL,,197.00,,41.8151,-88.2265
Baldwin Energy Complex,IL,"65,298",2810.00,"-62,488",38.205,-89.855
"Calumet Energy Team, LLC",IL,,6.00,,41.6835,-87.5563
Coffeen,IL,"23,495",1649.00,"-21,846",39.0586,-89.4031
Collins Station,IL,"3,030",,,41.3528,-88.3517
Cordova Energy Company,IL,,55.00,,41.7146,-90.2802
Crawford,IL,"3,871",,,41.8278,-87.7236
Crete Energy Park,IL,,12.00,,41.4297,-87.6187
Dallman,IL,"8,810",835.00,"-7,975",39.7539,-89.6011
Duck Creek,IL,"9,872",1214.00,"-8,658",40.4663,-89.9841
E D Edwards,IL,"9,949",2335.00,"-7,614",40.5958,-89.6631
"Elgin Energy Center, LLC",IL,,84.00,,41.9997,-88.2445
Elwood Energy Facility,IL,,60.00,,41.4388,-88.1236
Factory Gas Turbine,IL,,7.00,,39.8266,-89.6368
Fisk,IL,"3,342",33.00,"-3,309",41.8508,-87.6533
Freedom Power Project,IL,,0.00,,39.1025,-88.8589
"Gibson City Energy Center, LLC",IL,,31.00,,40.4705,-88.3987
Goose Creek Power Plant,IL,,1.00,,40.1083,-88.5986
"Grand Tower Energy Center, LLC",IL,"1,206",297.00,-909,37.6578,-89.5119
Havana,IL,"3,563",658.00,"-2,905",40.2797,-90.0775
Hennepin Power Station,IL,"4,279",1162.00,"-3,117",41.3017,-89.3136
Holland Energy Facility,IL,,77.00,,39.2242,-88.7594
Hutsonville,IL,"1,028",,,39.1333,-87.6597
Interstate,IL,,8.00,,39.8233,-89.5888
Joliet 29,IL,"10,303",631.00,"-9,672",41.4947,-88.125
Joliet 9,IL,"5,960",6.00,"-5,954",41.4947,-88.125
Joppa Steam,IL,"10,399",2698.00,"-7,701",37.2103,-88.8606
Kendall Energy Facility,IL,,329.00,,41.4797,-88.2581
Kincaid Generating Station,IL,"16,986",1016.00,"-15,970",39.5906,-89.4964
Kinmundy Power Plant,IL,,1.00,,38.7619,-89.0128
"LSP University Park, LLC",IL,,46.00,,41.4426,-87.7515
Lakeside,IL,905,,,39.7539,-89.6011
"Lee County Generating Station, LLC",IL,,28.00,,41.8287,-89.4054
Lincoln Generating Facility,IL,,2.00,,41.3937,-87.9437
MEPI GT Facility,IL,,7.00,,37.2175,-88.8658
Marion,IL,"3,543",1198.00,"-2,345",37.6206,-88.955
